順序ID,ページ数,テキスト内容,備考,
100,２,簡単な手続き,,
101,２,保険料は,,
102,２,給与からの引き去り,,
103,２,医師の検査は不要で、,,
104,２,加入の手続きは簡単,,
105,２,保険金の,,
106,２,請求手続きも簡単,,
107,２,退職後も継続できます！,,
108,２,ご退職後も団体割引等が引き続き適用となり、継続してご加入いただけます！,,
109,２,継続できます,,
110,２,個人補償プラン,,
111,２,親介護補償プラン,,
112,２,M11〜M13,,
113,２,継続できません,,
114,２,GLTD,,
115,２,親介護補償プラン,,
116,２,M14〜M19,,
117,２,所得,,
118,２,補償保険,,
119,２,夫婦補償,,
120,２,プラン,,
121,２,家族補償,,
122,２,プラン,,
123,２,前年度ご加入いただいた被保険者の人数をもとにした団体割引と損害率による割引等を適用しています。,,
124,３,募集要項,,
125,３,申込,,
126,３,締切日,,
127,３,令和,,
128,３,5,,
129,３,年,,
130,３,10,,
131,３,月,,
132,３,25,,
133,３,日,,
134,３,(水),,
135,３,保険,,
136,３,期間,,
137,３,令和5年12月10日午後4時から,,
138,３,令和6年12月10日午後4時まで 1年間,,
139,３,払込,,
140,３,方法,,
141,３,令和6年2月より毎月給与引き去り,,
142,３,第1回保険料は、保険始期（令和5年12月10日）の翌々月（令和6年2月）に給与より控除されます。,,
143,３,おすすめのポイント,,
144,３,『個人補償プラン［病気・ケガ補償］』、熱中症危険補償・食中毒補償・疾病を原因とする傷害補償・入浴中,,
145,３,の溺水補償等、ラインアップが充実しています。 （※1）,,
146,３,最大40.15%（病気補償部分・特約33.5%）の割引率が適用されていますので、『新規加入』『補償の充,,
147,３,実』『ご家族（別居を含む）の補償追加』等により補償を充実されることをお勧めします。,,
148,３,特に「医療充実オプションＧ」 （※2）がお勧めです！,,
149,３,WEBによる事故連絡（ケガ・病気・携行品）・保険金請求（ケガ）をお勧めします。詳細はP34またはパン,,
150,３,フレット裏面をご確認ください。,,
151,３,（※1）プラン・特約によって補償範囲が異なります。,,
152,３,（※2）「医療充実オプションＧ」にセットの『三大疾病診断保険金補償特約』とは…,,
153,３,がん（上皮内新生物を含む）、急性心筋梗塞、脳卒中と診断され、治療を開始し所定の要件を充足し,,
154,３,たとき、100万円をお支払いします。詳細はP12、38をご覧ください。,,
155,３,今年度の主な改定ポイント,,
156,３,改定,,
157,３,1,,
158,３,損害率による割引率の変更（１０％→５％）および傷害補償部分の年令別料率,,
159,３,改定により、保険料が変わりました。,,
160,３,改定,,
161,３,2,,
162,３,健康状況告知質問事項の内容が緩和されました！,,
163,３,各質問事項について、ご回答いただく対象期間が以下のとおり短縮されました。,,
164,３,質問内容,,
165,３,対象時間/時点,,
166,３,改訂前,,
167,３,改定後,,
168,３,直近の健康状況,,
169,３,過去3ヶ月,,
170,３,告知日(ご記入日）時点,,
171,３,過去の治療歴,,
172,３,過去3年,,
173,３,過去2年,,
174,３,がん等の治療歴,,
175,３,これまで(過去無制限),,
176,３,過去2年,,
177,３,ポイント,,
178,３,既往歴がある方でもご加入いただきやすくなりました！,,
179,３,②妊娠に関する質問事項が廃止されました！,,
180,３,これまで16才以上の女性のみなさまにご確認いただいていた妊娠のご状況については、ご回答不,,
181,３,要になりました。,,
182,３,※妊娠または出産については保険金をお支払いできません（「療養の給付」等の対象となるべき期間,,
183,３,を除きます）。詳細はP35～49をご参照ください。,,
184,３,ポイント,,
185,３,妊娠中の方もご加入いただけるようになりました！,,
186,３,各質問事項の回答がすべて「いいえ」の方は,,
187,３,個人補償プラン（病気・ケガ補償）,,
188,３,の新規加入・,,
189,３,増額 ・特約追加が可能です。この機会に、ぜひご検討ください ！,,
190,３,改定,,
191,３,3,,
192,３,LTD（長期の就業障害補償）に「妊娠に伴う身体障害補償特約」を付帯しました。,,
193,３,現在ご加入の方は改定後の補償内容でのご継続となります。,,
194,３,改定,,
195,３,4,,
196,３,次年度、夫婦補償プランおよび家族補償プランを廃止します。,,
197,３,現在ご加入の方は個人補償プランへの移行をご検討ください（移行例はＰ24、26をご覧ください。）。,,
198,３,改定,,
199,３,5,,
200,３,新型コロナウイルス感染症に関する入院保険金等のお取扱いが変わりました。,,
201,３,感染症法上の位置づけが「五類感染症」へ分類変更されましたので、2023年5月8日以降に同感染症と診断,,
202,３,された場合の「みなし入院（医師の指示による臨時施設または自宅での療養）」の取扱いを終了しました。,,
203,３,INDEX,,
204,３,団体保険制度について P1,,
205,３,制度の概要 P3,,
206,３,ご加入時のチェックポイント P5,,
207,３,補償の早見表　P7,,
208,３,ライフステージに合わせた　P9,,
209,３,補償の選び方,,
210,３,個人補償プラン,,
211,３,(病気・ケガ補償),,
212,３,P11,,
213,３,個人補償プラン,,
214,３,(ケガのみ補償),,
215,３,P15,,
216,３,親介護補償プラン,,
217,３,(ケガ・親介護補償）,,
218,３,P17,,
219,３,GLTD,,
220,３,(長期の就業障害補償),,
221,３,P19,,
222,３,夫婦補償プラン,,
223,３,(ケガのみ補償),,
224,３,P23,,
225,３,家族補償プラン,,
226,３,(ケガのみ補償),,
227,３,P25,,
228,３,所得補償保険,,
229,３,(所得の補償),,
230,３,P27,,
231,３,Q&A よくあるご質問　P28,,
232,３,P28,,
233,３,ご加入にあたってのご注意　,,
234,３,P29,,
235,３,健康状況告知書ご記入の,,
236,３,ご案内,,
237,３,P31,,
238,３,請求手続きについて,,
239,３,P34,,
240,３,保険金をお支払いする場合・,,
241,３,保険金のお支払額・保険金を,,
242,３,お支払いしない主な場合,,
243,３,P35,,
244,３,重要事項のご説明,,
245,３,P50,,
246,３,P33に引受ガイドラインを記載し,,
247,３,ていますので、ご覧ください。,,
248,4,制度の概要,,
249,４,団体保険制度はニーズに合わせて、,,
250,４,必要な補償を組み合わせてご加入いただけます。,,
251,４,必要な補償を,,
252,４,組み合わせて,,
253,４,ご加入できます！,,
254,４,ラインアップ,,
255,４,基本補償,,
256,４,最大,,
257,４,40.15%※,,
258,４,割引!!,,
259,４,個人補償プラン,,
260,４,（病気・ケガ補償）（ケガのみ補償）,,
261,４,ケガや病気に備える,,
262,４,P11〜16,,
263,４,オプション,,
264,４,日常生活賠償,,
265,４,受託物賠償責任,,
266,４,ホールインワン・アルバトロス費用,,
267,４,携行品損害,,
268,４,救援者費用等,,
269,４,親介護補償プラン,,
270,４,(ケガ・親介護補償プラン),,
271,４,親の介護に備える,,
272,４,p17〜18,,
273,４,最大,,
274,４,40.15%※,,
275,４,割引!!,,
276,４,親介護,,
277,４,一時金,,
278,４,親の,,
279,４,介護による,,
280,４,休業補償,,
281,４,GLTD,,
282,４,(長期の就業障害補償),,
283,４,長期の就業障害に備える,,
284,４,P19〜22,,
285,４,30%,,
286,４,割引!!,,
287,４,NEW!,,
288,４,妊娠に伴う,,
289,４,身体障害補償,,
290,４,特約付,,
291,４,(女性向け),,
292,４,※団体割引30%、損害率による割引5%、大口契約割引10%適用（病気補償部分・特約の割引率は33.5％）,,
293,４,⬇以下は現在ご加入の方のみご継続いただけます。（新たにご加入いただけません。）,,
294,４,＜ご注意＞,,
295,４,夫婦補償プランおよび家族補償プランの補償期間は令和6年12月10日までです。以降ご継続できませんので、個人,,
296,４,補償プランへの移行をご検討ください。,,
297,４,団体割引等,,
298,４,40.15%,,
299,４,適用,,
300,４,夫婦補償プラン,,
301,４,(ケガのみ補償),,
302,４,夫婦のケガに備える,,
303,４,P23,,
304,４,団体割引等,,
305,４,40.15%,,
306,４,適用,,
307,４,家族補償プラン,,
308,４,(ケガのみ補償),,
309,４,家族のケガに備える,,
310,４,団体割引,,
311,４,30.00%,,
312,４,適用,,
313,４,損害率,,
314,４,による割引,,
315,４,5%,,
316,４,所得補償,,
317,４,保険,,
318,４,(所得の補償),,
319,４,働けなくなった,,
320,４,場合に働ける,,
321,４,P27,,
322,４,※団体割引30%、損害率による割引5%、大口契約割引10%適用（病気補償部分・特約の割引率は33.5％）,,
323,４,地震による,,
324,４,ケガも安心!,,
325,４,すべての基本補償および「親介護補償プラン」の,,
326,４,「傷害死亡・後遺障害」補償に天災危険補償特約、食中毒補償特約、,,
327,４,熱中症危険補償特約が付いています。,,
328,５,働くみなさまのための!,,
329,５,団体保険制度,,
330,５,加入資格,,
331,５,お申込人（加入者）となれる方,,
332,５,MS&ADインシュアランスグループホールディングス株式会社およびそのグループ会社の役員・従業員（スタッフ社員含む）,,
333,５,に限ります。,,
334,５,万が一、加入者本人が亡くなられた場合、その時点で加入していた被保険者については、引き続き0B制度として継続加入,,
335,５,することが可能です。加入条件や手続きについては代理店・扱者、もしくは引受保険会社までお問合わせください。,,
336,５,被保険者（補償の対象者）となれる方,,
337,５,団体総合生活補償保険（MS&AD型）,,
338,５,個人補償プランの被保険者（補償の対象者）本人（＊）,,
339,５,となれる方の範囲,,
340,５,MS&ADインシュアランスグループホールディングス株式会社および,,
341,５,そのグループ会社の役員・従業員（スタッフ社員含む）ならびにその家,,
342,５,族（配偶者、子ども、両親、兄弟姉妹および本人と同居している親族な,,
343,５,らびに家事使用人をいいます。）です。,,
344,５,（＊）加入申込票の被保険者ご本人欄に記載の方をいいます。,,
345,５,被保険者（補償の対象者）本人となれる方の範囲,,
346,５,①ご本人,,
347,５,②配偶者・子ども・両親・兄弟姉妹,,
348,５,別居の方でもOK!,,
349,５,父母,,
350,５,父母,,
351,５,兄弟姉妹,,
352,５,配偶者,,
353,５,ご本人,,
354,５,兄弟姉妹,,
355,５,配偶者,,
356,５,子ども,,
357,５,配偶者,,
358,５,③ご本人と同居の②以外の親族（注）および家事使用人,,
359,５,同居の方ならOK!,,
360,５,おば,,
361,５,孫,,
362,５,（注）親族とは、6親等内の,,
363,５,血族および3親等内の,,
364,５,姻族をいいます。,,
365,５,など,,
366,５,親介護補償プランの被保険者、,,
367,５,特約被保険者・介護対象者となれる方の範囲,,
368,５,基本補償（傷害死亡・後遺障害）の被保険者となれ,,
369,５,る方の範囲,,
370,５,●親介護一時金支払特約 親介護 は、個人補償プ,,
371,５,ランと同様です。,,
372,５,●親の介護による休業補償特約は、MS&ADイン,,
373,５,シュアランスグループホールディングス株式会,,
374,５,社およびそのグループ会社の従業員のみです。,,
375,５,なお、以下の方は対象外です。,,
376,５,•ＭＳ＆ＡＤグループ会社の役員。,,
377,５,• ＭＳ＆ＡＤグループ各社の就業規則等に基づく,,
378,５,介護休業を取得できない方（退職者、従業員の,,
379,５,家族等）。,,
380,５,親介護一時金支払特約 親介護 の特約被保険者、,,
381,５,親の介護による休業補償特約の介護対象者とな,,
382,５,れる方の範囲,,
383,５,基本補償の被保険者の親（姻族を含みます。）で、最,,
384,５,大2名までとなります。,,
385,５,特約被保険者・介護対象者の範囲,,
386,５,（被保険者本人が範囲の中から２名までを対象とできます。,,
387,５,被保険者本人,,
388,５,被保険者本人の配偶者,,
389,５,団体長期障害所得補償保険（GLTD）,,
390,５,MS&ADインシュアランスグループホールディングス株式会社およびそのグループ会社の役員・従業員（スタッフ,,
391,５,社員含む）ならびにその家族（配偶者、子ども、両親、兄弟姉妹および本人と同居している親族ならびに家事使用人,,
392,５,をいいます。）です。,,
393,５,※非常勤、パート、アルバイトの従業員等、健康保険の対象とならない従業員を除きます。,,
394,6-7,ご加入時のチェックポイント,,
395,6-7,保険選びから加入までで、いちばん大切なのは「人まかせにしないこと」。,,
396,6-7,「いざというときに十分な補償が受けられない」なんてことにならないよう、,,
397,6-7,じっくりご検討したうえでご加入ください。,,
398,6-7,働くみなさまのための,,
399,6-7,団体保険制度,,
400,6-7,団体保険制度,,
401,6-7,ご加入までの,,
402,6-7,3つ,,
403,6-7,のポイント,,
404,6-7,１,,
405,6-7,自分自身や家族にとってのリスクを,,
406,6-7,考えてください,,
407,6-7,保険を選ぶとき、自分自身や家族にとって「何がリスクであるのか」をチェックしてみてください。,,
408,6-7,自分が亡くなったら、残された,,
409,6-7,家族の生活はどうなるのか？,,
410,6-7,がんになったら、手術や,,
411,6-7,入院費用は払えるのか？,,
412,6-7,自転車事故を起こし、,,
413,6-7,相手に重傷を負わせたら？,,
414,6-7,ある日突然自分や親の介護が,,
415,6-7,必要になったら？,,
416,6-7,自分が働けなくなったら、,,
417,6-7,生活費や住宅ローンは,,
418,6-7,どうなる？,,
419,6-7,２,,
420,6-7,   パンフレットで,,
421,6-7,補償内容を,,
422,6-7,ご確認してください「,,
423,6-7,リスクが把握できたら、そのリス,,
424,6-7,クをカバーする補償の内容につ,,
425,6-7,いて、パンフレットでしっかり確認,,
426,6-7,することが大切です。,,
427,6-7,必要な補償がきちんと備わって,,
428,6-7,いるか,,
429,6-7,、しっかりご確認ください。,,
430,6-7,分からない点があれば、 ,,
431,6-7,代理店・,,
432,6-7,扱者にご相談,,
433,6-7,してください,,
434,6-7,3,,
435,6-7,自分にぴったりの,,
436,6-7,補償を,,
437,6-7,お選びください,,
438,6-7,補償の内容を把握したら、,,
439,6-7,自分に必要なプランを選,,
440,6-7,んでいきます。本当にこの,,
441,6-7,補償で十分なのか、オプ,,
442,6-7,ションは足りているのかな,,
443,6-7,ど、加入する際にはじっくり,,
444,6-7,検討して、,,
445,6-7,自分と家族に,,
446,6-7,合ったプラン,,
447,6-7,をお選びく,,
448,6-7,ださい。,,
449,6-7,最後に,,
450,6-7,ご入力（ご記入）して,,
451,6-7,ください,,
452,6-7,お申込みに際しては、健康状況の,,
453,6-7,告知などの重要な項目がありま,,
454,6-7,すので、正確に入力（記入）してく,,
455,6-7,ださい。入力（記入）された内容が,,
456,6-7,事実と違っていた場合、保険金が,,
457,6-7,支払われなかったり、加入が解除,,
458,6-7,されたりすることもあります。分,,
459,6-7,からない点があれば、代理店・扱,,
460,6-7,者にご確認ください。,,
461,6-7,＊MS１を閲覧できる方、ご自宅の,,
462,6-7,PCまたはスマートフォンでお手,,
463,6-7,続きをされる方につきましては、,,
464,6-7,募集文書の「記入」を「入力」と読,,
465,6-7,み替えてください。,,
466,6-7,加入者の,,
467,6-7,声,,
468,6-7,マイコプラズマ肺炎で入院,,
469,6-7,入院14日,,
470,6-7,"140,000円のお支払い",,
471,6-7,38度以上の熱があり、病院に行ったところ、マイコプラズ,,
472,6-7,マ肺炎と診断され14日間入院しました。,,
473,6-7,請求書の金額を見た時、また具合が悪くなりそうでした,,
474,6-7,が、保険金が支払われることを知ってとても安心しました。,,
475,6-7,保険金の支払いで,,
476,6-7,安心しました。,,
477,6-7,個人補償プラン（病気・ケガ補償）,,
478,6-7, M2に10口に加入,,
479,6-7,乳がんで入院・手術,,
480,6-7,入院20日、入院中の手術1回,,
481,6-7,"280,000円のお支払",,
482,6-7,健康診断で乳がんと診断され、手術で摘出す,,
483,6-7,ることになりました。,,
484,6-7,手術や今後のことなど、精神的にも経済的にも,,
485,6-7,不安でしたが、保険金が出て安心できました。,,
486,6-7,個人補償プラン（病気・ケガ補償）,,
487,6-7,M1に7口に加入,,
488,6-7,自転車事故,,
489,6-7,相手への賠償金,,
490,6-7,"1,173,949円",,
491,6-7,自転車走行中、タクシーから降りてきた相手と接触し、,,
492,6-7,相手が転倒、手を骨折させてしまいました。,,
493,6-7,事故後は賠償のことを考えると眠れないくらい辛かったので,,
494,6-7,すが、示談交渉をしていただき、精神的に本当に助かりました。,,
495,6-7,日常生活補償オプション,,
496,6-7,に加入,,
497,6-7,示談交渉で,,
498,6-7,助かりました！,,
499,,,,
500,,,,
501,,,,
502,,,,
503,,,,
504,,,,
505,,,,
506,,,,
507,,,,
508,,,,
509,,,,
510,,,,
511,,,,
512,,,,
513,,,,
514,,,,
515,,,,
516,,,,
517,,,,
518,,,,
519,,,,
520,,,,
521,,,,
522,,,,
523,,,,
524,,,,
525,,,,
526,,,,
527,,,,
528,,,,
529,,,,
530,,,,
531,,,,
532,,,,
533,,,,
534,,,,
535,,,,
536,,,,
537,,,,
538,,,,
539,,,,
540,,,,
541,,,,
542,,,,
543,,,,
544,,,,
545,,,,
546,,,,
547,,,,
548,,,,
549,,,,
550,,,,
551,,,,
552,,,,
553,,,,
554,,,,
555,,,,
556,,,,
557,,,,
558,,,,
559,,,,
560,,,,
561,,,,
562,,,,
563,,,,
564,,,,
565,,,,
566,,,,
567,,,,
568,,,,
569,,,,
570,,,,
571,,,,
572,,,,
573,,,,
574,,,,
575,,,,
